id,timestamp,language,original_text,normalized_text,category,subcategory,severity,location,latitude,longitude,administrative_region,duration,affected_population_estimate,evidence_status,privacy_status,manipulation_risk,cluster_id
CF-2026-H2-005,2026-09-19T02:00:00,English,"Health workers visiting only once a month, urgent PHC upgrade required in tribal block.","Health workers visiting only once a month, urgent PHC upgrade required in tribal block.",Healthcare,Staff Shortage,High,Kalyanpur Tribal Belt,28.75,77.39,WARD-05,40 days,5100,PENDING,SANITIZED,LOW,HOTSPOT-HEALTH-KALYANPUR
CF-2026-H3-001,2026-09-20T10:00:00,Hindi,"सीतापुर औद्योगिक क्षेत्र में लगातार 12 घंटे बिजली कटौती हो रही है, नालों का गंदा पानी सड़कों पर भर गया है।","सीतापुर औद्योगिक क्षेत्र में लगातार 12 घंटे बिजली कटौती हो रही है, नालों का गंदा पानी सड़कों पर भर गया है।",Electricity,Power Outage,High,Sitapur Industrial,28.53,77.23,WARD-03,14 days,15000,PENDING,SANITIZED,LOW,HOTSPOT-ELEC-SITAPUR
CF-2026-H3-002,2026-09-20T04:00:00,English,"11kV feeder tripping multiple times daily, chemical effluent line choked near sector 4.","11kV feeder tripping multiple times daily, chemical effluent line choked near sector 4.",Electricity,Substation Failure,High,Sitapur Industrial,28.54,77.24,WARD-03,10 days,12000,PENDING,SANITIZED,LOW,HOTSPOT-ELEC-SITAPUR
CF-2026-H3-003,2026-09-19T22:00:00,Hindi,"गटर का गंदा पानी ओवरफ्लो होकर मुख्य बाजार में घुस रहा है, बीमारी फैलने का खतरा है।","गटर का गंदा पानी ओवरफ्लो होकर मुख्य बाजार में घुस रहा है, बीमारी फैलने का खतरा है।",Sanitation,Drainage Overflow,Critical,Sitapur Industrial,28.52,77.22,WARD-03,7 days,9000,PENDING,SANITIZED,LOW,HOTSPOT-ELEC-SITAPUR
CF-2026-H3-004,2026-09-19T16:00:00,English,Industrial wastewater flooding into residential colonies due to uncleaned trunk drain.,Industrial wastewater flooding into residential colonies due to uncleaned trunk drain.,Sanitation,Drainage Overflow,High,Sitapur Industrial,28.55,77.25,WARD-03,15 days,8000,PENDING,SANITIZED,LOW,HOTSPOT-ELEC-SITAPUR
CF-2026-H3-005,2026-09-19T10:00:00,Hindi,सीतापुर में ट्रांसफार्मर जल गया है और 4 दिन से कोई सुनवाई नहीं हुई।,सीतापुर में ट्रांसफार्मर जल गया है और 4 दिन से कोई सुनवाई नहीं हुई।,Electricity,Equipment Breakdown,High,Sitapur Industrial,28.53,77.21,WARD-03,4 days,6000,PENDING,SANITIZED,LOW,HOTSPOT-ELEC-SITAPUR
CF-2026-H4-001,2026-09-20T10:00:00,Hindi,"सुभाष नगर मुख्य सड़क पर 2 फीट गहरे गड्ढे हैं, स्कूल बसें दुर्घटनाग्रस्त हो रही हैं।","सुभाष नगर मुख्य सड़क पर 2 फीट गहरे गड्ढे हैं, स्कूल बसें दुर्घटनाग्रस्त हो रही हैं।",Roads,Road Damage,High,Subhash Nagar Peri-Urban,28.63,77.12,WARD-04,25 days,18000,PENDING,SANITIZED,LOW,HOTSPOT-ROADS-SUBHASH
CF-2026-H4-002,2026-09-20T03:00:00,English,The arterial road connecting Subhash Nagar to highway has caved in after rains.,The arterial road connecting Subhash Nagar to highway has caved in after rains.,Roads,Structural Cave-in,Critical,Subhash Nagar Peri-Urban,28.64,77.13,WARD-04,10 days,25000,PENDING,SANITIZED,LOW,HOTSPOT-ROADS-SUBHASH
CF-2026-H4-003,2026-09-19T20:00:00,Hindi,"पैदल चलना भी दूभर हो गया है, दोपहिया वाहन चालक रोज गिरकर चोटिल हो रहे हैं।","पैदल चलना भी दूभर हो गया है, दोपहिया वाहन चालक रोज गिरकर चोटिल हो रहे हैं।",Roads,Potholes & Pavement Hazard,High,Subhash Nagar Peri-Urban,28.62,77.11,WARD-04,30 days,14000,PENDING,SANITIZED,LOW,HOTSPOT-ROADS-SUBHASH
CF-2026-H4-004,2026-09-19T13:00:00,English,"Street lights non-functional along damaged road stretch, dangerous at night.","Street lights non-functional along damaged road stretch, dangerous at night.",Roads,Safety & Lighting,Medium,Subhash Nagar Peri-Urban,28.65,77.14,WARD-04,18 days,10000,PENDING,SANITIZED,LOW,HOTSPOT-ROADS-SUBHASH
CF-2026-ASTRO-001,2026-09-20T10:00:00,English,Immediate VIP bypass road needed at Sector 9 Anand Vihar for rapid commute.,Immediate VIP bypass road needed at Sector 9 Anand Vihar for rapid commute.,Roads,New Road Construction,Medium,Anand Vihar Urban,28.65,77.31,WARD-02,1 day,400,PENDING,SANITIZED,HIGH,HOTSPOT-ASTROTURF-ANAND
CF-2026-ASTRO-002,2026-09-20T09:58:00,English,Immediate VIP bypass road needed at Sector 9 Anand Vihar for rapid commute.,Immediate VIP bypass road needed at Sector 9 Anand Vihar for rapid commute.,Roads,New Road Construction,Medium,Anand Vihar Urban,28.650199999999998,77.31020000000001,WARD-02,1 day,400,PENDING,SANITIZED,HIGH,HOTSPOT-ASTROTURF-ANAND
CF-2026-ASTRO-003,2026-09-20T09:56:00,English,Urgent need for luxury bypass corridor Sector 9 Anand Vihar immediately.,Urgent need for luxury bypass corridor Sector 9 Anand Vihar immediately.,Roads,New Road Construction,Medium,Anand Vihar Urban,28.650399999999998,77.3104,WARD-02,1 day,400,PENDING,SANITIZED,HIGH,HOTSPOT-ASTROTURF-ANAND
CF-2026-ASTRO-004,2026-09-20T09:54:00,English,Immediate VIP bypass road needed at Sector 9 Anand Vihar for rapid commute.,Immediate VIP bypass road needed at Sector 9 Anand Vihar for rapid commute.,Roads,New Road Construction,Medium,Anand Vihar Urban,28.650599999999997,77.31060000000001,WARD-02,1 day,400,PENDING,SANITIZED,HIGH,HOTSPOT-ASTROTURF-ANAND
CF-2026-ASTRO-005,2026-09-20T09:52:00,English,Immediate VIP bypass road needed at Sector 9 Anand Vihar for rapid commute.,Immediate VIP bypass road needed at Sector 9 Anand Vihar for rapid commute.,Roads,New Road Construction,Medium,Anand Vihar Urban,28.6508,77.3108,WARD-02,1 day,400,PENDING,SANITIZED,HIGH,HOTSPOT-ASTROTURF-ANAND
CF-2026-ASTRO-006,2026-09-20T09:50:00,English,Demand VIP bypass corridor Sector 9 Anand Vihar for fast car movement.,Demand VIP bypass corridor Sector 9 Anand Vihar for fast car movement.,Roads,New Road Construction,Medium,Anand Vihar Urban,28.651,77.311,WARD-02,1 day,400,PENDING,SANITIZED,HIGH,HOTSPOT-ASTROTURF-ANAND
CF-2026-ASTRO-007,2026-09-20T09:48:00,English,Immediate VIP bypass road needed at Sector 9 Anand Vihar for rapid commute.,Immediate VIP bypass road needed at Sector 9 Anand Vihar for rapid commute.,Roads,New Road Construction,Medium,Anand Vihar Urban,28.6512,77.3112,WARD-02,1 day,400,PENDING,SANITIZED,HIGH,HOTSPOT-ASTROTURF-ANAND
CF-2026-MISC-001,2026-09-20T10:00:00,English,Government girls school in Rampur lacks functional toilets and boundary wall.,Government girls school in Rampur lacks functional toilets and boundary wall.,Education,Sanitation in Schools,High,WARD-01,28.72,77.16,WARD-01,40 days,1200,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-MISC-002,2026-09-18T09:00:00,Bengali,"আনন্দ বিহার বাস টার্মিনালে রাতে আলো থাকে না, মহিলা যাত্রীদের পক্ষে খুব অসুরক্ষিত।","আনন্দ বিহার বাস টার্মিনালে রাতে আলো থাকে না, মহিলা যাত্রীদের পক্ষে খুব অসুরক্ষিত।",Public Safety,Lighting & Safety,High,WARD-02,28.63,77.32,WARD-02,15 days,3500,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-MISC-003,2026-09-16T08:00:00,English,Garbage dumping yard overflowing into sector 5 park in Anand Vihar.,Garbage dumping yard overflowing into sector 5 park in Anand Vihar.,Waste Management,Garbage Dump,Medium,WARD-02,28.64,77.3,WARD-02,8 days,2500,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-MISC-004,2026-09-14T07:00:00,Hindi,मेट्रो फीडर बसें पिछले 1 महीने से समय पर नहीं आ रही हैं।,मेट्रो फीडर बसें पिछले 1 महीने से समय पर नहीं आ रही हैं।,Public Transport,Bus Frequency,Medium,WARD-06,28.63,28.21,WARD-06,30 days,4000,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-MISC-005,2026-09-12T06:00:00,English,Central Metro station escalator broken and lift out of service for senior citizens.,Central Metro station escalator broken and lift out of service for senior citizens.,Public Transport,Accessibility Deficit,Medium,WARD-06,28.64,77.22,WARD-06,10 days,6500,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-MISC-006,2026-09-10T05:00:00,Hindi,"कल्याणपुर के प्राथमिक विद्यालय में छत से पानी टपक रहा है, बारिश में कक्षाएं बंद रहती हैं।","कल्याणपुर के प्राथमिक विद्यालय में छत से पानी टपक रहा है, बारिश में कक्षाएं बंद रहती हैं।",Education,School Infrastructure,High,WARD-05,28.76,77.42,WARD-05,50 days,800,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-MISC-007,2026-09-08T04:00:00,English,Street dogs menace and unlit alleys near Sitapur residential quarters.,Street dogs menace and unlit alleys near Sitapur residential quarters.,Public Safety,Animal Control & Lighting,Low,WARD-03,28.51,77.23,WARD-03,12 days,1500,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-MISC-008,2026-09-06T03:00:00,English,Digital service kiosk in Subhash Nagar has internet connection down for 3 weeks.,Digital service kiosk in Subhash Nagar has internet connection down for 3 weeks.,Digital Connectivity,Kiosk Down,Medium,WARD-04,28.61,77.15,WARD-04,21 days,2200,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-MISC-009,2026-09-04T02:00:00,Hindi,नल से पीला बदबूदार पानी आ रहा है सुभाष नगर ब्लॉक सी में।,नल से पीला बदबूदार पानी आ रहा है सुभाष नगर ब्लॉक सी में।,Water,Water Contamination,High,WARD-04,28.62,77.14,WARD-04,5 days,3100,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-MISC-010,2026-09-02T01:00:00,English,Street garbage bins missing on Main Commercial Road Central Core.,Street garbage bins missing on Main Commercial Road Central Core.,Waste Management,Bins Missing,Low,WARD-06,28.65,77.21,WARD-06,6 days,1800,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-001,2026-09-20T10:00:00,Hindi,रामपुर प्राथमिक स्वास्थ्य केंद्र में एंटीबायोटिक और आवश्यक दवाइयां उपलब्ध नहीं हैं।,रामपुर प्राथमिक स्वास्थ्य केंद्र में एंटीबायोटिक और आवश्यक दवाइयां उपलब्ध नहीं हैं।,Healthcare,Medicine Shortage,High,WARD-01,28.71,77.13,WARD-01,25 days,3800,VERIFIED,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-002,2026-09-19T08:00:00,English,No solar street lamps working in Rampur village center since last monsoon.,No solar street lamps working in Rampur village center since last monsoon.,Electricity,Street Lighting,Medium,WARD-01,28.75,77.16,WARD-01,60 days,2100,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-003,2026-09-18T06:00:00,English,"Borewell pump burned out in Kalyanpur Ward 5, villagers relying on stagnant pond water.","Borewell pump burned out in Kalyanpur Ward 5, villagers relying on stagnant pond water.",Water,Pump Failure,Critical,WARD-05,28.78,77.37,WARD-05,14 days,4200,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-004,2026-09-17T04:00:00,Bengali,পুকুরের জল দূষিত হয়ে ডায়রিয়া ছড়াচ্ছে কল্যাণপুর গ্রামে। অবিলম্বে জল শোধন দরকার।,পুকুরের জল দূষিত হয়ে ডায়রিয়া ছড়াচ্ছে কল্যাণপুর গ্রামে। অবিলম্বে জল শোধন দরকার।,Water,Waterborne Disease,Critical,WARD-05,28.74,77.36,WARD-05,10 days,3900,VERIFIED,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-005,2026-09-16T02:00:00,English,Frequent voltage drops damaging home appliances in Sitapur Sector 2.,Frequent voltage drops damaging home appliances in Sitapur Sector 2.,Electricity,Voltage Fluctuation,Medium,WARD-03,28.52,77.24,WARD-03,18 days,5500,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-006,2026-09-15T00:00:00,Hindi,सीतापुर के प्राथमिक स्कूल के पास खुला नाला बच्चों के लिए जानलेवा साबित हो सकता है।,सीतापुर के प्राथमिक स्कूल के पास खुला नाला बच्चों के लिए जानलेवा साबित हो सकता है।,Sanitation,Open Drain Hazard,Critical,WARD-03,28.54,77.26,WARD-03,30 days,3200,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-007,2026-09-13T22:00:00,English,Pedestrian foot-overbridge lift non-operational at Central Metro terminal for 2 months.,Pedestrian foot-overbridge lift non-operational at Central Metro terminal for 2 months.,Public Transport,Accessibility Deficit,Medium,WARD-06,28.66,77.23,WARD-06,60 days,8000,VERIFIED,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-008,2026-09-12T20:00:00,English,High-mast street light at Central Circle blinking and sparking dangerously.,High-mast street light at Central Circle blinking and sparking dangerously.,Electricity,Public Safety Hazard,High,WARD-06,28.62,77.24,WARD-06,3 days,5000,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-009,2026-09-11T18:00:00,Hindi,"आनंद विहार में कूड़ा उठाने वाली गाड़ी 4 दिन से नहीं आई है, बदबू से सांस लेना मुश्किल है।","आनंद विहार में कूड़ा उठाने वाली गाड़ी 4 दिन से नहीं आई है, बदबू से सांस लेना मुश्किल है।",Waste Management,Waste Collection Delay,Medium,WARD-02,28.66,77.33,WARD-02,4 days,4100,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-010,2026-09-10T16:00:00,English,Sewage backflow into basement shops in Anand Vihar commercial complex.,Sewage backflow into basement shops in Anand Vihar commercial complex.,Sanitation,Sewage Backflow,High,WARD-02,28.65,77.34,WARD-02,5 days,2800,VERIFIED,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-011,2026-09-09T14:00:00,Hindi,"सुभाष नगर के पार्क में टूटे झूले और अंधेरा, असामाजिक तत्वों का जमावड़ा रहता है।","सुभाष नगर के पार्क में टूटे झूले और अंधेरा, असामाजिक तत्वों का जमावड़ा रहता है।",Public Safety,Park Maintenance & Safety,Medium,WARD-04,28.61,77.13,WARD-04,45 days,1900,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-012,2026-09-08T12:00:00,English,Broadband fiber lines cut during unauthorized road digging in Subhash Nagar.,Broadband fiber lines cut during unauthorized road digging in Subhash Nagar.,Digital Connectivity,Fiber Cut Outage,Medium,WARD-04,28.63,77.16,WARD-04,7 days,4500,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-013,2026-09-07T10:00:00,English,Sub-center in Kalyanpur requires an auxiliary nurse midwife (ANM) urgently.,Sub-center in Kalyanpur requires an auxiliary nurse midwife (ANM) urgently.,Healthcare,Staff Shortage,High,WARD-05,28.73,77.38,WARD-05,35 days,2900,VERIFIED,SANITIZED,LOW,HOTSPOT-HEALTH-KALYANPUR
CF-2026-EXT-014,2026-09-06T08:00:00,Hindi,पानी का प्रेशर इतना कम है कि पहली मंजिल पर भी पानी नहीं चढ़ पा रहा।,पानी का प्रेशर इतना कम है कि पहली मंजिल पर भी पानी नहीं चढ़ पा रहा।,Water,Low Pressure,Low,WARD-02,28.64,77.31,WARD-02,12 days,1500,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-015,2026-09-05T06:00:00,English,Illegal construction debris dumped along arterial drainage channel in Sitapur.,Illegal construction debris dumped along arterial drainage channel in Sitapur.,Waste Management,Illegal Dumping,High,WARD-03,28.56,77.22,WARD-03,14 days,6200,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-016,2026-09-04T04:00:00,Hindi,कल्याणपुर से मुख्य सड़क तक का 5 किमी संपर्क मार्ग दलदल बन चुका है।,कल्याणपुर से मुख्य सड़क तक का 5 किमी संपर्क मार्ग दलदल बन चुका है।,Roads,Unpaved Mud Track,Critical,WARD-05,28.76,77.35,WARD-05,90 days,5000,VERIFIED,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-017,2026-09-03T02:00:00,English,Potholes causing frequent traffic jams at Anand Vihar border flyover junction.,Potholes causing frequent traffic jams at Anand Vihar border flyover junction.,Roads,Potholes & Congestion,Medium,WARD-02,28.67,77.31,WARD-02,20 days,35000,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-018,2026-09-02T00:00:00,English,Community toilet complex in Rampur has no running water or sanitation staff.,Community toilet complex in Rampur has no running water or sanitation staff.,Sanitation,Public Toilet Disrepair,High,WARD-01,28.73,77.11,WARD-01,30 days,3000,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-019,2026-08-31T22:00:00,Hindi,बिजली के लटकते नंगे तार बच्चों के स्कूल के रास्ते में खतरनाक बने हुए हैं।,बिजली के लटकते नंगे तार बच्चों के स्कूल के रास्ते में खतरनाक बने हुए हैं।,Electricity,Exposed Wire Hazard,Critical,WARD-01,28.75,77.17,WARD-01,6 days,2400,VERIFIED,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-020,2026-08-30T20:00:00,English,Mobile network signal tower out of battery backup during power cuts in Kalyanpur.,Mobile network signal tower out of battery backup during power cuts in Kalyanpur.,Digital Connectivity,Tower Outage,High,WARD-05,28.79,77.4,WARD-05,15 days,7000,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-021,2026-08-29T18:00:00,English,"Rampur main canal gate rusted and jammed, causing localized water-logging in fields.","Rampur main canal gate rusted and jammed, causing localized water-logging in fields.",Water,Irrigation / Canal Damage,High,WARD-01,28.7,77.15,WARD-01,28 days,4800,PENDING,SANITIZED,LOW,HOTSPOT-WATER-RAMPUR
CF-2026-EXT-022,2026-08-28T16:00:00,Hindi,कल्याणपुर के आंगनवाड़ी केंद्र में पीने के पानी और पंखों की व्यवस्था नहीं है।,कल्याणपुर के आंगनवाड़ी केंद्र में पीने के पानी और पंखों की व्यवस्था नहीं है।,Education,Anganwadi Deficit,Medium,WARD-05,28.72,77.39,WARD-05,60 days,1200,VERIFIED,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-023,2026-08-27T14:00:00,English,Traffic signal at Central Ring Road crossing out of order for 48 hours.,Traffic signal at Central Ring Road crossing out of order for 48 hours.,Public Safety,Traffic Signal Failure,High,WARD-06,28.61,77.2,WARD-06,2 days,25000,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-024,2026-08-26T12:00:00,English,Hospital emergency entry blocked by haphazard roadside parking in Subhash Nagar.,Hospital emergency entry blocked by haphazard roadside parking in Subhash Nagar.,Healthcare,Emergency Access Blocked,High,WARD-04,28.64,77.1,WARD-04,9 days,5200,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-025,2026-08-25T10:00:00,Hindi,"सार्वजनिक नलों पर पानी के लिए रोज झगड़े हो रहे हैं, समय पर आपूर्ति सुनिश्चित की जाए।","सार्वजनिक नलों पर पानी के लिए रोज झगड़े हो रहे हैं, समय पर आपूर्ति सुनिश्चित की जाए।",Water,Supply Schedule Conflict,Medium,WARD-01,28.74,77.14,WARD-01,10 days,2000,VERIFIED,SANITIZED,LOW,HOTSPOT-WATER-RAMPUR
CF-2026-EXT-026,2026-08-24T08:00:00,English,Street sweeping abandoned for 2 weeks in Sitapur Industrial worker colonies.,Street sweeping abandoned for 2 weeks in Sitapur Industrial worker colonies.,Sanitation,Sweeping Abandoned,Medium,WARD-03,28.51,77.25,WARD-03,14 days,4500,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-027,2026-08-23T06:00:00,English,Transformer explosion risk: transformer oil leaking continuously near Rampur market.,Transformer explosion risk: transformer oil leaking continuously near Rampur market.,Electricity,Oil Leak & Explosion Risk,Critical,WARD-01,28.76,77.12,WARD-01,3 days,6000,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-028,2026-08-22T04:00:00,Hindi,"स्कूल की बाउंड्री वॉल गिर गई है, आवारा पशु स्कूल परिसर में घुस रहे हैं।","स्कूल की बाउंड्री वॉल गिर गई है, आवारा पशु स्कूल परिसर में घुस रहे हैं।",Education,School Safety,High,WARD-05,28.77,77.42,WARD-05,20 days,950,VERIFIED,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-029,2026-08-21T02:00:00,English,Severe waterlogging at Central Bus Underpass during morning rush hours.,Severe waterlogging at Central Bus Underpass during morning rush hours.,Roads,Drainage & Waterlogging,High,WARD-06,28.65,77.22,WARD-06,5 days,16000,PENDING,SANITIZED,LOW,UNCLUSTERED
CF-2026-EXT-030,2026-08-20T00:00:00,English,Water tanker mafia charging exorbitant rates in Rampur due to municipal dry taps.,Water tanker mafia charging exorbitant rates in Rampur due to municipal dry taps.,Water,Supply Exploitation,High,WARD-01,28.73,77.13,WARD-01,15 days,3500,PENDING,SANITIZED,LOW,HOTSPOT-WATER-RAMPUR
